数据库类型		数据名称				描述对象	数据性质	提示词内容	数据描述	应用	可组合结构	数据来源	时效周期	应用类型标签
社会数据库	政治数据	人权纪录			集会自由	供给端	定性数据	"1、查询xx国家的集会自由
2、对比xx国家与xx国家的集会自由
3、查询集会自由的历史变化"	政治领域的集会自由，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	人权纪录			宗教自由	供给端	定性数据	"1、查询xx国家的宗教自由
2、对比xx国家与xx国家的宗教自由
3、查询宗教自由的历史变化"	政治领域的宗教自由，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政府结构和行政区划			政府部门的组织结构	供给端	定性数据	"1、查询xx国家的政府部门的组织结构
2、对比xx国家与xx国家的政府部门的组织结构
3、查询政府部门的组织结构的历史变化"	政治领域的政府部门的组织结构，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政府结构和行政区划			行政区划的设置	供给端	定性数据	"1、查询xx国家的行政区划的设置
2、对比xx国家与xx国家的行政区划的设置
3、查询行政区划的设置的历史变化"	政治领域的行政区划的设置，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政治风险			政治稳定性	供给端	定性/定量	"1、查询xx国家的政治稳定性
2、对比xx国家与xx国家的政治稳定性
3、查询政治稳定性的历史变化"	政治领域的政治稳定性，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政治风险			侵权风险	供给端	定性/定量	"1、查询xx国家的侵权风险
2、对比xx国家与xx国家的侵权风险
3、查询侵权风险的历史变化"	政治领域的侵权风险，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政治风险			冲突风险	供给端	定性/定量	"1、查询xx国家的冲突风险
2、对比xx国家与xx国家的冲突风险
3、查询冲突风险的历史变化"	政治领域的冲突风险，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	腐败治理												
专业应用数据库	中医数据库	医案问诊数据库												
专业应用数据库	中医数据库	疗法辩证数据库												
专业应用数据库	农业数据库	作物种植数据库												
专业应用数据库	农业数据库	气候数据库												
专业应用数据库	农业数据库	土壤质量数据库												
专业应用数据库	农业数据库	农作物病虫害数据库												
专业应用数据库	医疗数据库	病例数据库												
专业应用数据库	医疗数据库	药品数据库												
专业应用数据库	医疗数据库	医疗设备数据库												
科研数据库														
